iter	RMSE
0	961.510131
1	936.9762832
2	916.5133568
3	899.495428
4	883.2619823
5	870.1628238
6	857.7119189
7	847.2422658
8	838.9346986
9	832.1080239
10	826.4192826
11	821.2953684
12	816.2012115
13	812.9857584
14	809.4001757
15	806.5211404
16	804.3968556
17	802.1813771
18	800.0367783
19	798.0315086
20	796.4421729
21	794.9733017
22	792.8672623
23	791.5874265
24	790.409728
25	787.9832985
26	786.305018
27	785.3907545
28	784.3013708
29	782.8648056
30	782.1983466
31	781.2811422
32	780.8604076
33	779.3538087
34	778.6942493
35	778.1247351
36	777.5949349
37	776.56593
38	775.5114684
39	774.8214466
40	774.3760786
41	773.6555576
42	772.5766823
43	772.1183629
44	771.8110974
45	770.8632973
46	770.4193431
47	770.0350734
48	769.6997298
49	768.8833878
50	768.6144006
51	768.0793196
52	767.8741045
53	767.7211599
54	767.5469121
55	767.3651368
56	767.170401
57	766.5498089
58	766.3648456
59	766.0799073
60	765.8572999
61	765.7274285
62	765.430086
63	764.9259384
64	764.0895783
65	764.0239036
66	763.8280772
67	763.3877719
68	763.3862232
69	763.2162191
70	762.6914585
71	762.6899699
72	762.5128
73	762.0451672
74	761.9392528
75	761.8310308
76	761.8310287
77	761.6830699
78	761.47621
79	761.3511343
80	761.112831
81	761.0183468
82	760.9239972
83	760.4391134
84	760.0966685
85	759.8257532
86	759.5797832
87	759.3516403
88	759.1101464
89	758.6344592
90	758.5486992
91	758.1518127
92	757.8585726
93	757.8559852
94	757.7132167
95	757.2533519
96	757.1354422
97	757.0681131
98	757.0647929
99	756.8922881
100	756.878822
101	756.3725927
102	756.3723884
103	756.1897607
104	755.7794007
105	755.4568022
106	755.0033268
107	754.9970014
108	754.5636677
109	754.5594094
110	754.4950295
111	754.2447545
112	754.2291834
113	753.9603229
114	753.4950379
115	753.0519153
116	753.0489879
117	752.6800295
118	752.0776522
119	752.0731852
120	751.5413117
121	751.4727597
122	751.3597102
123	751.0334423
124	751.024208
125	750.8861969
126	750.8562466
127	750.8411055
128	750.4734545
129	750.0588482
130	750.0484201
131	749.96119
132	749.9600229
133	749.9589168
134	749.5932005
135	749.2597906
136	749.153519
137	748.8276628
138	748.8227256
139	748.3917313
140	748.0404047
141	747.7104901
142	747.6986953
143	747.2569379
144	747.0228605
145	747.0219259
146	746.9956866
147	746.876206
148	746.4425211
149	746.0100518
150	745.6827198
151	745.6612104
152	745.5094745
153	745.3431738
154	745.2516922
155	745.1671631
156	744.9692196
157	744.7342918
158	744.634714
159	744.4111487
160	744.3714669
161	744.2499696
162	744.1004905
163	743.8619926
164	743.3743587
165	743.1585397
166	743.0464872
167	742.9441971
168	742.8096189
169	742.5801658
170	742.495519
171	742.353597
172	741.7525193
173	741.4178082
174	741.162871
175	741.0372772
176	740.716523
177	740.625137
178	740.609297
179	740.3013638
180	740.0208393
181	739.9378206
182	739.9060049
183	739.7880498
184	739.6237852
185	739.3246717
186	739.1510236
187	738.8763026
188	738.8375481
189	738.7054395
190	738.6133277
191	738.5440345
192	738.2541806
193	738.2530439
194	737.9331238
195	737.6829504
196	737.5991758
197	737.4714138
198	737.1867139
199	736.8940117
200	736.8624114
201	736.4698057
202	736.2921118
203	736.2021904
204	736.1375682
205	735.9729771
206	735.9153774
207	735.7103021
208	735.6103991
209	735.5005955
210	735.3432234
211	734.9950685
212	734.8025568
213	734.6725499
214	734.5856195
215	734.4628062
216	734.196717
217	733.9514464
218	733.9065719
219	733.756495
220	733.4840147
221	733.3791707
222	733.3330291
223	733.2240593
224	733.0391395
225	732.8942334
226	732.6957786
227	732.5066318
228	732.4116472
229	732.0714062
230	731.8666974
231	731.7065848
232	731.4758506
233	731.2287677
234	731.1588426
235	730.9908346
236	730.9703114
237	730.888328
238	730.6983851
239	730.6741052
240	730.5575183
241	730.4246462
242	729.9998957
243	729.9274783
244	729.7601388
245	729.4602304
246	729.3029224
247	729.1490303
248	729.0883048
249	729.0176501
250	729.0162998
251	728.779363
252	728.7643894
253	728.5837336
254	728.2157007
255	728.1972926
256	728.1509576
257	727.8420885
258	727.8342106
259	727.8274729
260	727.8266646
261	727.6490794
262	727.4207006
263	727.4046905
264	727.1735108
265	727.0306615
266	726.8246849
267	726.6287843
268	726.4212679
269	726.3318158
270	726.3139119
271	726.1652339
272	726.1352727
273	725.9135122
274	725.9108156
275	725.8585942
276	725.6667329
277	725.5696993
278	725.2808177
279	725.2106897
280	725.1352246
281	724.979132
282	724.9770022
283	724.8996489
284	724.7219334
285	724.6837516
286	724.4601571
287	724.4502658
288	724.3987199
289	724.3464671
290	724.3420801
291	724.1519334
292	723.9606909
293	723.8351472
294	723.7825994
295	723.509485
296	723.3048563
297	723.2268565
298	723.0687959
299	722.9213771
300	722.7481053
301	722.6630431
302	722.4868162
303	722.3989866
304	722.3692364
305	722.3087454
306	722.1977101
307	722.0781944
308	721.9494592
309	721.7902785
310	721.5988103
311	721.4200828
312	721.2377965
313	720.9698715
314	720.923599
315	720.786537
316	720.7089995
317	720.6809432
318	720.5809417
319	720.5540763
320	720.5463436
321	720.4518352
322	720.3856399
323	720.3268923
324	720.2494943
325	720.1772985
326	719.994334
327	719.8639018
328	719.6893157
329	719.5450742
330	719.504131
331	719.4771259
332	719.3711148
333	719.3435574
334	719.2096784
335	719.1847351
336	719.1343545
337	718.9754048
338	718.9690218
339	718.8763212
340	718.786291
341	718.5842574
342	718.273406
343	718.1438886
344	718.1058179
345	718.0982586
346	718.0584761
347	718.0208426
348	717.9649364
349	717.9527871
350	717.8429877
351	717.6995896
352	717.5758611
353	717.5574346
354	717.5363018
355	717.5343796
356	717.5191334
357	717.4741586
358	717.3272518
359	717.2796072
360	717.1543364
361	717.093391
362	716.9474051
363	716.782791
364	716.7048083
365	716.5877436
366	716.4497393
367	716.2565489
368	716.2106886
369	716.1443254
370	716.0166499
371	715.8926621
372	715.7289299
373	715.5976664
374	715.3466321
375	715.1803124
376	715.0812382
377	714.993783
378	714.9324672
379	714.8251746
380	714.6782396
381	714.5970712
382	714.5340587
383	714.303157
384	714.1392326
385	714.0246376
386	713.9726217
387	713.9718029
388	713.8786698
389	713.8567961
390	713.7379504
391	713.5237398
392	713.3774067
393	713.3313555
394	713.1555576
395	713.0884765
396	712.9373273
397	712.8787915
398	712.8708002
399	712.8093044
400	712.7022038
401	712.5791701
402	712.5213174
403	712.4222733
404	712.2682599
405	712.1966879
406	712.1417141
407	712.0241172
408	711.8861286
409	711.6810769
410	711.4997765
411	711.4623816
412	711.3651602
413	711.2985161
414	711.0451755
415	710.9900437
416	710.9461989
417	710.8839553
418	710.8592272
419	710.7529328
420	710.6179311
421	710.5327963
422	710.3945538
423	710.3064224
424	710.2501375
425	710.11863
426	709.92717
427	709.9261099
428	709.8600085
429	709.7825864
430	709.6288416
431	709.456816
432	709.3682082
433	709.2123813
434	709.0115076
435	708.9897324
436	708.8935592
437	708.8360532
438	708.8109765
439	708.7801539
440	708.7288413
441	708.7038782
442	708.5977015
443	708.5966974
444	708.3792085
445	708.164091
446	708.0443739
447	707.8529838
448	707.7412526
449	707.6315949
450	707.5812786
451	707.4716971
452	707.3763972
453	707.1714729
454	706.9976204
455	706.8261681
456	706.8158438
457	706.6847996
458	706.5820229
459	706.4707848
460	706.4272192
461	706.2669253
462	706.1917974
463	706.0178697
464	705.8160119
465	705.6965049
466	705.6629679
467	705.6348041
468	705.5462799
469	705.4652818
470	705.2960905
471	705.2014005
472	705.1925513
473	705.1547892
474	705.0756121
475	705.0484371
476	704.8633426
477	704.8070132
478	704.7777604
479	704.7573095
480	704.7402703
481	704.6274187
482	704.528026
483	704.3141684
484	704.2560269
485	704.2028459
486	704.0305261
487	703.9639221
488	703.9287194
489	703.8525401
490	703.698615
491	703.5402906
492	703.3780117
493	703.3739846
494	703.3112255
495	703.2817265
496	703.2394465
497	703.1520208
498	703.08172
499	702.9273993
500	702.8932921
501	702.8003113
502	702.6649135
503	702.579935
504	702.3495252
505	702.2144783
506	702.1149486
507	701.9836952
508	701.9475478
509	701.8219019
510	701.6240107
511	701.3522833
512	701.2192222
513	700.9924849
514	700.9106857
515	700.790719
516	700.7239382
517	700.7225371
518	700.7170314
519	700.6438223
520	700.5994761
521	700.5960064
522	700.5530658
523	700.322362
524	700.3201708
525	700.3171231
526	700.1748063
527	700.0952195
528	699.8825064
529	699.7072126
530	699.6175897
531	699.5605015
532	699.3938417
533	699.2856211
534	699.1411986
535	699.0564012
536	698.8175734
537	698.76567
538	698.733898
539	698.6469082
540	698.4445061
541	698.3016788
542	698.2550831
543	698.2384751
544	698.1685496
545	698.141473
546	698.0769754
547	697.9402953
548	697.8034445
549	697.7469739
550	697.643213
551	697.4031254
552	697.3087848
553	697.2042097
554	697.0190471
555	696.8989375
556	696.7762752
557	696.7325495
558	696.5964501
559	696.4979679
560	696.4217267
561	696.3407895
562	696.257292
563	696.1947506
564	696.1728403
565	696.0477417
566	695.8564772
567	695.7119044
568	695.6379552
569	695.5003863
570	695.4451378
571	695.3743695
572	695.2110414
573	695.0489773
574	695.0464327
575	695.0123892
576	694.8941428
577	694.8571539
578	694.7693647
579	694.6405512
580	694.4672166
581	694.3978467
582	694.3461761
583	694.2708961
584	694.1270907
585	693.9540382
586	693.9522804
587	693.916083
588	693.8683213
589	693.71858
590	693.6728229
591	693.5992426
592	693.5709684
593	693.4557454
594	693.2786214
595	693.2127253
596	693.1345266
597	692.9780611
598	692.9555392
599	692.8354226
600	692.6493674
601	692.6097644
602	692.5889491
603	692.564487
604	692.5402874
605	692.4995527
606	692.3878781
607	692.2759348
608	692.220394
609	692.1962458
610	692.1740497
611	692.0912029
612	692.014051
613	691.9991993
614	691.9467587
615	691.8619877
616	691.8450514
617	691.798664
618	691.6980848
619	691.5495186
620	691.4631484
621	691.4147473
622	691.403506
623	691.3170885
624	691.226685
625	691.1105443
626	690.8370921
627	690.7741378
628	690.6146415
629	690.5692697
630	690.5554928
631	690.4376664
632	690.34505
633	690.2091603
634	690.1290212
635	690.0351855
636	690.0041932
637	689.9102997
638	689.8410816
639	689.5962772
640	689.5403904
641	689.4902149
642	689.4716433
643	689.4554772
644	689.4137609
645	689.3098109
646	689.2827503
647	689.1538343
648	689.0847797
649	688.9316513
650	688.8734752
651	688.8639958
652	688.7756451
653	688.6832209
654	688.6037891
655	688.5331316
656	688.4651331
657	688.276725
658	688.2448633
659	688.1614452
660	688.1293273
661	688.0315441
662	687.9627958
663	687.9195482
664	687.8395958
665	687.8256325
666	687.777835
667	687.7235683
668	687.6515253
669	687.6181081
670	687.5177575
671	687.4240341
672	687.3357503
673	687.242954
674	687.1726707
675	687.1391766
676	687.1103302
677	687.0830308
678	686.9989327
679	686.9713117
680	686.7973321
681	686.6088605
682	686.4948775
683	686.3415299
684	686.2517626
685	686.2273391
686	686.0622441
687	685.9941718
688	685.9111947
689	685.8168335
690	685.5985725
691	685.4421656
692	685.2797871
693	685.1332549
694	685.0401602
695	684.9446084
696	684.8372382
697	684.5588441
698	684.5384832
699	684.4588802
700	684.3870234
701	684.2731858
702	684.1938859
703	684.0633665
704	683.9800464
705	683.9620361
706	683.9457906
707	683.8960657
708	683.8633551
