iter	Passed	Remaining
0	80	80282
1	196	97989
2	309	102724
3	440	109612
4	506	100792
5	610	101058
6	738	104732
7	858	106451
8	1086	119676
9	1380	136634
10	1708	153611
11	1949	160541
12	2081	158025
13	2306	162463
14	2502	164316
15	2718	167170
16	2910	168266
17	3126	170576
18	3290	169903
19	3484	170737
20	3623	168921
21	3733	165982
22	3861	164026
23	4010	163073
24	4140	161486
25	4237	158750
26	4361	157159
27	4506	156445
28	4692	157104
29	4861	157193
30	4996	156166
31	5125	155033
32	5267	154359
33	5415	153851
34	5611	154704
35	5734	153560
36	5867	152725
37	5984	151497
38	6138	151252
39	6260	150245
40	6359	148743
41	6482	147856
42	6661	148261
43	6838	148585
44	6962	147749
45	7084	146932
46	7230	146618
47	7363	146040
48	7515	145858
49	7635	145068
50	7757	144353
51	7889	143830
52	8028	143459
53	8155	142871
54	8294	142507
55	8405	141700
56	8541	141312
57	8702	141346
58	8917	142223
59	9055	141864
60	9222	141962
61	9340	141319
62	9479	140994
63	9600	140406
64	9772	140574
65	9979	141227
66	10150	141345
67	10296	141116
68	10335	139450
69	10443	138749
70	10639	139217
71	10699	137898
72	10914	138596
73	11092	138806
74	11246	138704
75	11370	138245
76	11422	136922
77	11582	136911
78	11743	136909
79	11913	136999
80	12020	136377
81	12183	136393
82	12381	136790
83	12517	136499
84	12657	136257
85	12779	135815
86	12941	135807
87	13111	135886
88	13290	136042
89	13440	135894
90	13601	135866
91	13750	135714
92	13887	135435
93	13986	134808
94	14120	134521
95	14243	134127
96	14390	133969
97	14552	133942
98	14693	133729
99	14830	133478
100	14997	133488
101	15147	133358
102	15231	132644
103	15370	132419
104	15564	132669
105	15696	132379
106	15818	132013
107	15913	131434
108	16063	131310
109	16221	131249
110	16356	130998
111	16471	130598
112	16675	130898
113	16795	130533
114	16920	130214
115	17056	129983
116	17156	129480
117	17310	129391
118	17437	129095
119	17561	128784
120	17719	128725
121	17901	128833
122	18022	128505
123	18134	128113
124	18277	127941
125	18394	127593
126	18539	127439
127	18690	127330
128	18838	127198
129	18964	126915
130	19114	126796
131	19242	126537
132	19390	126403
133	19429	125568
134	19547	125246
135	19692	125104
136	19850	125042
137	20050	125243
138	20189	125061
139	20311	124768
140	20427	124448
141	20553	124191
142	20694	124023
143	20842	123895
144	20960	123594
145	21124	123566
146	21268	123416
147	21425	123341
148	21562	123153
149	21693	122929
150	21785	122487
151	21929	122341
152	22029	121955
153	22232	122133
154	22395	122092
155	22637	122475
156	22840	122641
157	22986	122496
158	23141	122403
159	23282	122234
160	23406	121974
161	23529	121716
162	23688	121637
163	23811	121379
164	23958	121245
165	24068	120924
166	24236	120890
167	24398	120833
168	24574	120837
169	24691	120552
170	24823	120345
171	24952	120121
172	25113	120051
173	25222	119733
174	25351	119514
175	25476	119275
176	25684	119425
177	25829	119280
178	25970	119114
179	26113	118960
180	26289	118957
181	26443	118850
182	26581	118670
183	26743	118599
184	26869	118370
185	26981	118082
186	27124	117925
187	27241	117661
188	27372	117453
189	27499	117234
190	27636	117056
191	27851	117208
192	27990	117038
193	28156	116980
194	28298	116823
195	28442	116672
196	28580	116499
197	28792	116623
198	29045	116910
199	29224	116897
200	29372	116759
201	29495	116520
202	29641	116375
203	29850	116475
204	30075	116633
205	30299	116785
206	30466	116715
207	30613	116565
208	30758	116411
209	30920	116319
210	31066	116167
211	31253	116169
212	31410	116057
213	31567	115945
214	31720	115816
215	31909	115821
216	32145	115991
217	32448	116397
218	32592	116231
219	32733	116053
220	32871	115866
221	33035	115772
222	33226	115770
223	33378	115633
224	33611	115773
225	33746	115574
226	33879	115369
227	34028	115220
228	34196	115133
229	34355	115017
230	34504	114865
231	34731	114974
232	34876	114809
233	35029	114668
234	35198	114580
235	35352	114445
236	35481	114230
237	35663	114184
238	35826	114075
239	35972	113912
240	36100	113695
241	36250	113544
242	36404	113408
243	36550	113246
244	36689	113063
245	36912	113139
246	37063	112990
247	37210	112832
248	37355	112665
249	37530	112592
250	37728	112584
251	37894	112480
252	38202	112794
253	38387	112743
254	38557	112648
255	38755	112633
256	38955	112623
257	39275	112956
258	39492	112987
259	39684	112948
260	39865	112874
261	40034	112770
262	40200	112652
263	40461	112801
264	40658	112770
265	40808	112606
266	40942	112399
267	41084	112216
268	41216	112005
269	41355	111812
270	41563	111808
271	41696	111599
272	41870	111500
273	42013	111320
274	42227	111327
275	42397	111217
276	42570	111112
277	42731	110979
278	42865	110773
279	43001	110576
280	43156	110424
281	43277	110188
282	43436	110049
283	43578	109866
284	43778	109830
285	43914	109633
286	44047	109428
287	44203	109281
288	44353	109118
289	44572	109126
290	44915	109433
291	45084	109314
292	45237	109156
293	45410	109047
294	45607	108994
295	45768	108854
296	45920	108693
297	46127	108663
298	46436	108869
299	46665	108885
300	46899	108911
301	47276	109268
302	47486	109235
303	48106	110138
304	48592	110727
305	48762	110592
306	49081	110792
307	49443	111087
308	49811	111391
309	50086	111482
310	50260	111348
311	50480	111315
312	50712	111308
313	50983	111383
314	51211	111365
315	51480	111431
316	51653	111292
317	51863	111229
318	52106	111236
319	52274	111084
320	52439	110923
321	52606	110768
322	52744	110550
323	52923	110421
324	53175	110441
325	53323	110245
326	53485	110077
327	53588	109791
328	53748	109619
329	53902	109439
330	54096	109336
331	54431	109519
332	54623	109410
333	54843	109357
334	55101	109380
335	55330	109344
336	55716	109613
337	55981	109644
338	56170	109524
339	56322	109331
340	56525	109238
341	56709	109107
342	56885	108960
343	57036	108766
344	57232	108659
345	57418	108530
346	57645	108479
347	57894	108468
348	58013	108214
349	58160	108012
350	58335	107863
351	58564	107812
352	59082	108290
353	59299	108213
354	59473	108057
355	59732	108055
356	59929	107939
357	60226	108003
358	60519	108057
359	60761	108020
360	60911	107818
361	61109	107701
362	61352	107661
363	61576	107590
364	61912	107710
365	62193	107733
366	62510	107817
367	62655	107603
368	62821	107427
369	63056	107366
370	63286	107297
371	63575	107326
372	63807	107258
373	63949	107038
374	64140	106901
375	64287	106690
376	64423	106460
377	64674	106421
378	64956	106432
379	65127	106260
380	65304	106097
381	65475	105926
382	65626	105721
383	65854	105641
384	66068	105537
385	66193	105292
386	66333	105070
387	66483	104866
388	66611	104625
389	66720	104357
390	66932	104249
391	67108	104087
392	67247	103865
393	67430	103713
394	67563	103483
395	67694	103251
396	67832	103030
397	67993	102845
398	68221	102759
399	68342	102514
400	68485	102301
401	68621	102079
402	68758	101857
403	68881	101617
404	69016	101394
405	69207	101253
406	69387	101098
407	69518	100870
408	69662	100660
409	69801	100446
410	69914	100193
411	70051	99977
412	70204	99782
413	70410	99662
414	70518	99405
415	70679	99223
416	70812	99002
417	70936	98767
418	71072	98551
419	71210	98337
420	71407	98206
421	71605	98075
422	71774	97905
423	71952	97747
424	72107	97557
425	72236	97333
426	72362	97104
427	72544	96952
428	72725	96797
429	72873	96599
430	73005	96381
431	73137	96162
432	73275	95952
433	73412	95740
434	73576	95564
435	73764	95420
436	73894	95200
437	74030	94989
438	74172	94785
439	74331	94603
440	74472	94399
441	74604	94184
442	74785	94030
443	74958	93866
444	75111	93678
445	75241	93461
446	75443	93333
447	75712	93288
448	76061	93340
449	76212	93148
450	76386	92984
451	76553	92813
452	76706	92623
453	76872	92449
454	77063	92307
455	77241	92148
456	77394	91959
457	77561	91786
458	77704	91586
459	77841	91378
460	77960	91151
461	78151	91007
462	78327	90846
463	78460	90635
464	78600	90433
465	78736	90226
466	78875	90022
467	79014	89819
468	79146	89609
469	79287	89409
470	79442	89225
471	79592	89035
472	79732	88834
473	79892	88657
474	80041	88466
475	80148	88230
476	80291	88034
477	80515	87927
478	80658	87730
479	80822	87558
480	80965	87361
481	81114	87172
482	81280	87002
483	81500	86888
484	81730	86786
485	81886	86603
486	82036	86416
487	82174	86215
488	82317	86021
489	82477	85843
490	82653	85683
491	82816	85509
492	82944	85299
493	83129	85149
494	83280	84963
495	83427	84772
496	83581	84590
497	83760	84432
498	83941	84278
499	84095	84095
500	84233	83897
501	84397	83725
502	84517	83509
503	84648	83304
504	84777	83098
505	84969	82953
506	85133	82783
507	85317	82630
508	85517	82492
509	85746	82384
510	85972	82271
511	86165	82126
512	86324	81949
513	86466	81756
514	86606	81561
515	86745	81365
516	86919	81203
517	87119	81064
518	87326	80932
519	87462	80734
520	87586	80525
521	87739	80343
522	87900	80169
523	88034	79970
524	88197	79797
525	88348	79614
526	88998	79879
527	89338	79863
528	89618	79792
529	89864	79690
530	90077	79559
531	90250	79393
532	90444	79245
533	90606	79068
534	90762	78887
535	90919	78706
536	91115	78559
537	91279	78384
538	91439	78206
539	91600	78029
540	91714	77813
541	91851	77616
542	92008	77436
543	92184	77272
544	92315	77070
545	92454	76875
546	92646	76725
547	92792	76537
548	92936	76346
549	93071	76149
550	93321	76045
551	93495	75880
552	93704	75742
553	93838	75544
554	94092	75443
555	94318	75319
556	94679	75301
557	94912	75181
558	95141	75058
559	95361	74926
560	95551	74771
561	95892	74734
562	96089	74584
563	96246	74403
564	96381	74205
565	96529	74017
566	96679	73831
567	96825	73642
568	97016	73487
569	97174	73306
570	97311	73111
571	97463	72927
572	97602	72733
573	97760	72554
574	97924	72379
575	98156	72253
576	98331	72087
577	98482	71902
578	98645	71726
579	98797	71543
580	98948	71358
581	99126	71193
582	99379	71082
583	99621	70963
584	99874	70850
585	99980	70634
586	100148	70462
587	100282	70265
588	100554	70166
589	100846	70079
590	101033	69919
591	101188	69738
592	101360	69567
593	101653	69480
594	101844	69322
595	101975	69124
596	102113	68930
597	102256	68741
598	102375	68534
599	102510	68340
600	109341	72591
601	109673	72508
602	110399	72684
603	111274	72954
604	111664	72905
605	112023	72833
606	112287	72700
607	113225	73000
608	113824	73079
609	114196	73011
610	114619	72973
611	114908	72850
612	115309	72797
613	115993	72920
614	116433	72889
615	116691	72742
616	116904	72568
617	117305	72509
618	117555	72356
619	117744	72165
620	117960	71992
621	118149	71801
622	118391	71643
623	118612	71471
624	118776	71265
625	118957	71070
626	119106	70856
627	119322	70681
628	119557	70518
629	119791	70353
630	119975	70160
631	120202	69991
632	120430	69822
633	120670	69661
634	120890	69488
635	121124	69322
636	121320	69135
637	121490	68933
638	121665	68734
639	121846	68538
640	122072	68368
641	122312	68205
642	122504	68015
643	122667	67810
644	122853	67617
645	123045	67427
646	123401	67327
647	123578	67129
648	123771	66939
649	123994	66766
650	124219	66593
651	124543	66474
652	124790	66312
653	125008	66136
654	125220	65955
655	125389	65753
656	125541	65541
657	125811	65391
658	125969	65183
659	126157	64990
660	126320	64784
661	126456	64565
662	126613	64357
663	126809	64168
664	127057	64006
665	127238	63810
666	127441	63625
667	127630	63433
668	127811	63237
669	127992	63040
670	128181	62849
671	128370	62657
672	128502	62437
673	128651	62226
674	128790	62010
675	128944	61802
676	129071	61580
677	129211	61366
678	129453	61199
679	129665	61018
680	129823	60813
681	129958	60596
682	130097	60381
683	130250	60174
684	130457	59991
685	130610	59783
686	130758	59574
687	130967	59392
688	131114	59182
689	131266	58974
690	131415	58765
691	131654	58597
692	131801	58388
693	131969	58188
694	132100	57971
695	132239	57759
696	132390	57552
697	132543	57347
698	132766	57171
699	132923	56967
700	133083	56764
701	133236	56559
702	133392	56355
703	133538	56146
704	133730	55958
705	133988	55796
706	134131	55587
707	134296	55387
708	134433	55176
709	134572	54966
710	134726	54762
711	134949	54586
712	135206	54424
713	135430	54247
714	135574	54039
715	135715	53831
716	135864	53625
717	136058	53437
718	136237	53244
719	136445	53062
720	136590	52855
721	136757	52657
722	136898	52449
723	137045	52243
724	137219	52048
725	137393	51853
726	137543	51649
727	137690	51444
728	137818	51233
729	137997	51040
730	138175	50847
731	138373	50661
732	138574	50476
733	138723	50272
734	138873	50069
735	139022	49866
736	139154	49657
737	139303	49454
738	139470	49258
739	139656	49068
740	139832	48875
741	139982	48673
742	140113	48464
743	140242	48255
744	140397	48055
745	140559	47857
746	140711	47657
747	140968	47492
748	141118	47290
749	141277	47092
750	141409	46885
751	141604	46699
752	141785	46508
753	141929	46305
754	142184	46139
755	142344	45941
756	142503	45744
757	142742	45572
758	142894	45372
759	143050	45173
760	143251	44989
761	143413	44793
762	143530	44582
763	143663	44377
764	143855	44190
765	144046	44003
766	144219	43811
767	144398	43620
768	144608	43439
769	144783	43246
770	144954	43053
771	145086	42849
772	145247	42653
773	145547	42498
774	145787	42325
775	145984	42139
776	146153	41946
